Name,City,Attachments,Status,Gender,Your city,Employment status,Your employment status,Position,Your position,Total years of experience,Years of experience in Germany,Seniority level,Your seniority level,Main technology / programming language,Other technologies/programming languages you use often,Years in the current workplace,What languages do you speak and use at work?,Have you completed your higher education in Germany?,Your main technology,Just a few more general questions,Company size,Annual Brutto salary without bonus and stocks in EUR,Annual Brutto salary with bonus and stocks in EUR,Annual bonus+stocks one year ago.,Number of vacation days,Hourly rate in EUR,Working hours for the last year,Number of days off in the last year,"Third-party income from small customers or own projects (annualy, in EUR)",About you (anonymously),Working hours per week
,Berlin,,,,,Full-time employee,,Engineering Manager,,7,7,Lead,,Python,"SQL,AWS,Google Cloud,Azure,Kubernetes,Terraform,Docker",0,"English,German",No,,,1000+,110000,110000,80000,25,,,,,,
,Berlin,,,,,Full-time employee,,Designer (UI/UX),,6,1,Lead,,Other,Other,0,English,No,"UX Research, Figma",,51-100,78000,97500,60000,27,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,4,0,Middle,,Go,"SQL,Terraform,Docker,Other",0,"English,Russian",No,,,1000+,90000,100000,,24,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,7,4,Senior,,Java,"Kotlin,SQL,Docker,Terraform,Kubernetes,AWS",3,English,No,,,1000+,83640,96186,,30,,,,,,
,Berlin,,,,,Full-time employee,,Data Scientist,,11,3,Middle,,SQL,"Python,SQL,AWS,Other",3,English,No,,,11-50,60000,65000,65000,23,,,,,,
,Berlin,,,,,Full-time employee,,Mobile Developer,,5,1,Middle,,Swift,,0,English,No,,,1000+,75000,75000,70000,25,,,,,,
,Berlin,,,,,Full-time employee,,Tech Lead / Team Lead,,17,7,Middle,,Python,"Java / Scala,SQL,Google Cloud",4,"English,Russian",No,,,1000+,108000,160000,155000,30,,,,,,
,Berlin,,,,,Full-time employee,,Frontend Developer,,9,6,Middle,,JavaScript / Typescript, React,0,English,No,,,101-1000,67000,0,63000,26,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,21,4,Middle,,Java,"Python,Kotlin,PHP",3,English,No,,,1000+,75000,110000,,25,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,12,6,Lead,,Java,"Kotlin,Javascript / Typescript,SQL,AWS,Docker,Terraform,Kubernetes,Google Cloud",0,English,No,,,101-1000,110000,110000,100000,30,,,,,,
,Berlin,,,,,Full-time employee,,Backend Developer,,10,0,Senior,,Ruby,,0,English,No,,,51-100,75000,75000,,25,,,,,,
,Berlin,,,,,Full-time employee,,Head / Principal / VP,,17,3,Head,,Other,,8,"English,Russian",No,,,101-1000,99000,0,,,,,,,,
,Berlin,,,,,Full-time employee,,Backend Developer,,6,0,Middle,,Go,"Kubernetes,Terraform,Docker,AWS",0,English,No,,,1000+,68000,68000,,24,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,6,0,Middle,,Kotlin,"Kotlin,Java / Scala,SQL,AWS,Kubernetes,Terraform,Docker",0,"English,Russian",No,,,1000+,70000,0,,28,,,,,,
,Berlin,,,,,Full-time employee,,Engineering Manager,,8,0,Other,,Kotlin,"Swift,Terraform",0,English,No,,,51-100,89000,99000,99000,30,,,,,,
,Berlin,,,,,Full-time employee,,Engineering Manager,,10,5,Lead,,Java,"Python,AWS,Kubernetes,Docker",5,"English,Russian",No,,,101-1000,90000,90000,82500,29,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,13,6,Senior,,C# / .NET,"C / C++,Python",2,English,No,,,1000+,90000,110000,,30,,,,,,
,Berlin,,,,,Full-time employee,,DevOps,,5,3,Middle,,Ruby,"Kubernetes,Docker",0,English,No,,,1000+,80000,20000,55000,24,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,15,3,Senior,,Go,"AWS,Docker,Terraform",0,"English,Russian",No,,,101-1000,80000,80000,65000,28,,,,,,
,Berlin,,,,,Full-time employee,,DevOps,,13,6,Lead,,Other,"Python,Go",2,English,No,kubernetes,,101-1000,112000,112000,105000,30,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,8,1,Middle,,Python,"Java / Scala,Go,AWS,Kubernetes,Docker",1,English,Yes,,,1000+,75000,75000,75000,27,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,10,10,Other,Staff Software Engineer ,Python,"Java / Scala,Docker,Kubernetes,AWS,SQL,.NET",0,"English,German",Yes,,,1000+,125000,170000,130000,30,,,,,,
,Berlin,,,,,Full-time employee,,Tech Lead / Team Lead,,15,5,Head,,SQL,"SQL,Google Cloud,Kubernetes,Docker,Other",2,English,No,,,51-100,90000,90000,83000,30,,,,,,
,Berlin,,,,,Working student,,Software Engineer,,1,0,Other,Working Student,Go,Javascript / Typescript,0,English,No,,,101-1000,33600,27600,,unlimited,,,,,,
,Berlin,,,,,Full-time employee,,Frontend Developer,,10,4,Senior,,JavaScript / Typescript,"Java / Scala, React",1,English,No,,,51-100,84000,84000,64000,30,,,,,,
,Berlin,,,,,Full-time employee,,Engineering Manager,,20,20,Lead,,Kotlin,"Java / Scala,Python,AWS,Kubernetes,Terraform,Docker",0,English,No,,,101-1000,115000,130000,105000,25,,,,,,
,Berlin,,,,,Full-time employee,,Frontend Developer,,10,4,Lead,,JavaScript / Typescript," React,NodeJS,Terraform,Docker,AWS",4,"Russian,German,English",Yes,,,101-1000,75000,0,,30,,,,,,
,Berlin,,,,,Full-time employee,,BI Developer / Data Engineer,,5,0,Middle,,Python,"Javascript / Typescript,SQL,AWS",0,English,No,,,1000+,57000,57000,,30,,,,,,
,Berlin,,,,,Full-time employee,,Mobile Developer,,10,3,Middle,,Swift,,1,English,No,,,101-1000,70000,70000,65000,27,,,,,,
,Berlin,,,,,Full-time employee,,Tech Lead / Team Lead,,12,4,Lead,,Java,"Kotlin,PHP,SQL,Docker",4,"English,German,Russian",No,,,11-50,96000,100000,90000,30,,,,,,
,Berlin,,,,,Part-time employee,,Mobile Developer,,1,1,Junior,,C / C++,"C / C++,C# / .NET core,.NET",1,"German,English",Yes,,,51-100,36000,40000,,,,,,,,20
,Berlin,,,,,Full-time employee,,Software Engineer,,8,0,Senior,,JavaScript / Typescript,"Javascript / Typescript, React",0,English,No,,,1000+,80000,80000,,28,,,,,,
,Berlin,,,,,Full-time employee,,BI Developer / Data Engineer,,4,0,Middle,,Python,,0,English,No,,,1000+,54000,54000,,28,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,2,0,Junior,,Python,Docker,2,"English,Russian",No,,,up to 10,45000,0,,20,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,8,1,Senior,,C / C++,"Python,Docker,Other",1,"English,German",No,,,101-1000,74000,86000,,30,,,,,,
,Berlin,,,,,Full-time employee,,Other,General Manager,10,3,Senior,,Other,,1,English,Yes,,,101-1000,72000,80000,,24,,,,,,
,Berlin,,,,,Full-time employee,,Frontend Developer,,5,0,Senior,,JavaScript / Typescript,,0,English,No,,,1000+,80000,85000,,30,,,,,,
,Berlin,,,,,Full-time employee,,Backend Developer,,5,0,Middle,,Go,,0,"English,Russian",Not relevant to me,,,51-100,60000,60000,,25,,,,,,
,Berlin,,,,,Full-time employee,,Frontend Developer,,5,1,Middle,,JavaScript / Typescript," React,Angular",0,English,No,,,51-100,66000,66000,,30,,,,,,
,Berlin,,,,,Full-time employee,,Engineering Manager,,9,5,Lead,,Go,"AWS,SAP / ABAP,Kubernetes,Docker",5,English,No,,,1000+,98000,130000,,28,,,,,,
,Berlin,,,,,Full-time employee,,Other,Senior Data Analyst,4,0,Senior,,Python,,0,English,No,,,1000+,70000,3500,,30,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,7,3,Senior,,Java,"AWS,Kubernetes,Terraform,Docker",3,English,No,,,1000+,90000,110000,95000,35,,,,,,
,Berlin,,,,,Full-time employee,,Product Manager,,18,6,Senior,,JavaScript / Typescript,Go,2,English,No,,,51-100,72600,72600,,35,,,,,,
,Berlin,,,,,Full-time employee,,C-level (CTO / CEO / ...),,20,10,Other,C-Level,Python,"Kubernetes,Azure,Terraform,Docker,Other",0,"English,Russian",No,,,11-50,110000,120000,120000,25,,,,,,
,Berlin,,,,,Founder,,C-level (CTO / CEO / ...),,8,4,Head,,Python,"Python,Java / Scala,SQL,AWS,Docker",2,English,No,,,up to 10,75000,110000,90000,30,,,,,,
,Berlin,,,,,Full-time employee,,Head / Principal / VP,,15,15,Head,,SQL,"Python,Javascript / Typescript,R,SQL,AWS,Google Cloud,Other",0,"English,German",Yes,,,101-1000,100000,0,,30,,,,,,
,Berlin,,,,,Full-time employee,,Backend Developer,,6,5,Middle,,Java,Python,2,English,No,,,1000+,72000,79000,72000,30,,,,,,
,Berlin,,,,,Full-time employee,,Engineering Manager,,12,4,Lead,,Java,"Kotlin,AWS,Kubernetes,Docker",0,English,No,,,101-1000,105000,132000,95000,28,,,,,,
,Berlin,,,,,Full-time employee,,Tech Lead / Team Lead,,10,4,Lead,,Java,"SQL,AWS,Kubernetes,Docker",4,English,No,,,101-1000,75000,79000,,28,,,,,,
,Berlin,,,,,Full-time employee,,Backend Developer,,11,2,Senior,,Java,"Kubernetes,Terraform,Docker,Other,AWS,SQL,Python",2,English,No,,,101-1000,70000,70000,70000,26,,,,,,
,Berlin,,,,,Full-time employee,,Engineering Manager,,12,5,Lead,,Python,,4,English,Not relevant to me,,,1000+,89000,0,,,,,,,,
,Berlin,,,,,Full-time employee,,QA Engineer,,8,6,Senior,,JavaScript / Typescript,"Google Cloud,Angular,Java / Scala",1,English,No,,,1000+,80000,80000,75000,30,,,,,,
,Berlin,,,,,Full-time employee,,Other,Fullstack Developer,1,1,Junior,,JavaScript / Typescript," React,NodeJS,Google Cloud,Docker",0,"English,German",No,,,11-50,46800,46800,,24,,,,,,
,Berlin,,,,,Full-time employee,,Other,Site Reliability Engineer,6,3,Middle,,Other,"Docker,Terraform,Kubernetes,AWS,Google Cloud",0,English,No,,,101-1000,75000,80000,72000,28,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,2,2,Middle,,JavaScript / Typescript, React,2,English,Yes,,,1000+,62700,65000,60000,30,,,,,,
,Berlin,,,,,Full-time employee,,Product Manager,,8,0,Middle,,PHP,,0,"English,German,Russian",No,,,101-1000,50000,60000,,26,,,,,,
,Berlin,,,,,Full-time employee,,Engineering Manager,,16,6,Lead,,Kotlin,"Java / Scala,AWS,Kubernetes",2,"English,Russian",No,,,1000+,90000,117000,107000,27,,,,,,
,Berlin,,,,,Full-time employee,,Head / Principal / VP,,11,6,Head,,PHP,"PHP,SQL,AWS,Docker",2,"English,Russian",No,,,101-1000,85000,95000,95000,26,,,,,,
,Berlin,,,,,Full-time employee,,Frontend Developer,,7,0,Senior,,JavaScript / Typescript,"Javascript / Typescript,AWS,Docker,Angular, React,NodeJS",0,English,No,,,101-1000,70000,70000,,30,,,,,,
,Berlin,,,,,Full-time employee,,Other,Director of Engineering,22,4,Other,Director ,Other,"AWS,Kubernetes,Terraform,Docker",0,"English,Russian",No,,,1000+,200000,200000,160000,28,,,,,,
,Berlin,,,,,Full-time employee,,Backend Developer,,5,2,Middle,,Go,"Google Cloud,Kubernetes,Docker",0,English,No,,,101-1000,65000,0,,26,,,,,,
,Berlin,,,,,Full-time employee,,BI Developer / Data Engineer,,10,0,Senior,,Python,"SQL,Google Cloud",0,"English,Russian",No,,,1000+,75000,82500,0,27,,,,,,
,Berlin,,,,,Full-time employee,,Backend Developer,,6,1,Senior,,Scala,"Java / Scala,SQL,Kubernetes,Docker,Terraform,AWS",1,English,No,,,1000+,81000,95000,,30,,,,,,
,Berlin,,,,,Full-time employee,,Product Manager,,4,4,Middle,,Other,Other,0,English,Yes,,,101-1000,56000,56000,51000,28,,,,,,
,Berlin,,,,,Full-time employee,,Backend Developer,,6,0,Senior,,Go,"C# / .NET core,SQL",0,English,No,,,101-1000,84000,0,,30,,,,,,
,Berlin,,,,,Full-time employee,,Engineering Manager,,14,8,Senior,,JavaScript / Typescript, React,6,English,No,,,101-1000,105000,105000,92500,30,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,5,4,Senior,,C / C++,Python,0,English,No,,,11-50,75000,75000,60000,30,,,,,,
,Berlin,,,,,Full-time employee,,Software / Solutions Architect,,8,1,Senior,,C / C++,"Python,C / C++",1,"English,Russian",No,,,101-1000,72000,82000,,30,,,,,,
,Berlin,,,,,Full-time employee,,Backend Developer,,6,5,Senior,,Go,"SQL,Go,Kubernetes,Docker",3,"English,Russian",Yes,,,101-1000,75000,75000,72000,28,,,,,,
,Berlin,,,,,Full-time employee,,Backend Developer,,10,0,Senior,,Ruby,"Javascript / Typescript,AWS,Kubernetes,Terraform,Docker",0,English,No,,,51-100,53000,53000,,27,,,,,,
,Berlin,,,,,Full-time employee,,DevOps,,3,0,Middle,,Python,"Javascript / Typescript,Go,AWS,Kubernetes,Terraform,Docker",0,English,No,,,1000+,71000,71000,,30,,,,,,
,Berlin,,,,,Full-time employee,,DevOps,,12,1,Senior,,Python,"NodeJS,AWS,Google Cloud,Terraform,Docker,Kubernetes,SQL,Python",3,"English,Russian",No,,,101-1000,70000,0,,,,,,,,
,Berlin,,,,,Full-time employee,,QA Engineer,,9,4,Senior,,Java,Javascript / Typescript,2,English,No,,,101-1000,62000,68000,,30,,,,,,
,Berlin,,,,,Full-time employee,,Engineering Manager,,10,5,Lead,,Java,Python,3,English,No,,,1000+,99000,114000,,30,,,,,,
,Berlin,,,,,Full-time employee,,Product Manager,,5,3,Senior,,Python,,2,English,No,,,51-100,70000,70000,,28,,,,,,
,Berlin,,,,,Full-time employee,,QA Engineer,,8,3,Senior,,JavaScript / Typescript,,1,English,No,,,51-100,55000,0,,24,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,5,3,Senior,,Go,"Docker,AWS,Terraform,Kubernetes",2,English,No,,,101-1000,82000,82000,75000,28,,,,,,
,Bonn,,,,,Full-time employee,,QA Engineer,,15,2,Senior,,Bash,"Javascript / Typescript,Angular, React,NodeJS,.NET,Docker,AWS",2,"English,Russian",No,,,51-100,55000,57000,52500,34,,,,,,
,Bonn,,,,,Full-time employee,,Software Engineer,,7,6,Senior,,C / C++,"Azure,Javascript / Typescript",3,German,Yes,,,11-50,90000,95000,,30,,,,,,
,Bonn,,,,,Full-time employee,,Mobile Developer,,6,3,Senior,,Swift,,3,English,No,,,11-50,57000,61000,59000,30,,,,,,
,Bonn,,,,,Full-time employee,,Software Engineer,,2,2,Junior,,C / C++,Python,2,German,Yes,,,51-100,44000,44000,44000,30,,,,,,
,Bonn,,,,,Full-time employee,,DevOps,,5,5,Middle,,Python,"Python,Java / Scala,Docker",0,German,Yes,,,1000+,73740,78000,49500,44,,,,,,
,Cologne,,,,,Full-time employee,,Software Engineer,,15,7,Senior,,C / C++,"Python,SQL",2,English,No,,,101-1000,80000,86000,72000,35,,,,,,
,Cologne,,,,,Full-time employee,,Software Engineer,,8,8,Senior,,C / C++,"Python,C# / .NET core",,German,Yes,,,101-1000,72000,87000,8000,30,,,,,,
,Cologne,,,,,Full-time employee,,Network / Security Engineer / System Administrator,,5,1,Middle,,Python,"Python,AWS,Terraform",0,English,No,,,101-1000,70000,70000,63000,24,,,,,,
,Cologne,,,,,Full-time employee,,Backend Developer,,6,3,Senior,,Java,"Kotlin,Docker,SQL",3,English,No,,,51-100,70000,70000,68000,30,,,,,,
,Cologne,,,,,Full-time employee,,Mobile Developer,,8,6,Senior,,Kotlin,,5,English,No,,,101-1000,61000,62000,59000,29,,,,,,
,Cologne,,,,,Full-time employee,,Backend Developer,,10,0,Middle,,C# / .NET,"C# / .NET core,SQL",0,English,No,,,51-100,58000,58000,,30,,,,,,
,Cologne,,,,,Self-employed (freelancer),,Other,Freelance ,10,10,Other,,JavaScript / Typescript,"PHP,Javascript / Typescript, React",3,"German,Russian,English",No,,,up to 10,,,,,30,600,0,3000,,
,Cologne,,,,,Full-time employee,,BI Developer / Data Engineer,,0,0,Junior,,Python,"Python,Google Cloud,Kubernetes,SQL",0,"English,German,Russian",No,,,11-50,47000,47000,,30,,,,,,
,Cologne,,,,,Full-time employee,,Data Scientist,,3,2,Junior,,Python,,0,English,Yes,,,51-100,44000,4000,,24,,,,,,
,Cologne,,,,,Full-time employee,,C-level (CTO / CEO / ...),,27,23,Other,executive,C / C++,"Python,SQL,AWS",0,"German,English",Yes,,,101-1000,180000,225000,250000,28,,,,,,
,Cologne,,,,,Full-time employee,,Tech Lead / Team Lead,,15,15,Head,,PHP,"AWS,Terraform,Docker",3,"English,German",Yes,,,up to 10,4100,0,4000,30,,,,,,
,Cologne,,,,,Full-time employee,,Software Engineer,,10,5,Lead,,PHP,"AWS,Kubernetes,Terraform,Docker,Javascript / Typescript",3,English,No,,,101-1000,85000,85000,72000,26,,,,,,
,Cologne,,,,,Full-time employee,,Software Engineer,,10,2,Senior,,PHP,"Javascript / Typescript, React,NodeJS,Docker,Kubernetes,AWS,SQL",2,"English,Russian,German",No,,,51-100,70000,0,,28,,,,,,
,Cologne,,,,,Full-time employee,,DevOps,,15,2,Senior,,Bash,"Google Cloud,Docker,Other,Terraform,Kubernetes",2,English,No,,,101-1000,60500,60500,55000,28,,,,,,
,Cologne,,,,,Full-time employee,,Software Engineer,,11,4,Middle,,Java,"Python,Docker",2,English,No,,,1000+,67000,83000,78000,28,,,,,,
,Cologne,,,,,Full-time employee,,Backend Developer,,9,5,Senior,,PHP,"Javascript / Typescript,Docker,SQL",5,"German,English,Russian",No,,,101-1000,80000,87000,65000,28,,,,,,
,Cologne,,,,,Full-time employee,,Backend Developer,,12,1,Senior,,PHP,"Javascript / Typescript, React,NodeJS,SQL,AWS,Kubernetes,Terraform,Docker",1,"English,German,Russian",No,,,51-100,70000,70000,,28,,,,,,
,Cologne,,,,,Full-time employee,,Backend Developer,,12,7,Senior,,C# / .NET,".NET,SQL,Go",4,"English,German",No,,,51-100,63000,63000,59000,31,,,,,,
,Cologne,,,,,Full-time employee,,Software Engineer,,18,6,Senior,,C# / .NET,"Angular,.NET,C# / .NET core,SQL,Azure,Kubernetes,Docker",4,"English,German",No,,,1000+,80000,80000,80000,25,,,,,,
,Cologne,,,,,Full-time employee,,Other,,1,1,Junior,,SAP / ABAP,,,"English,German",Yes,,,1000+,47000,50000,,30,,,,,,
,Cologne,,,,,Full-time employee,,Mobile Developer,,11,9,Senior,,Other,Swift,4,German,No,,,11-50,60000,60000,,,,,,,,
,Cologne,,,,,Full-time employee,,Data Scientist,,6,2,Middle,,Python,"Javascript / Typescript,SQL,AWS,Docker,Terraform",0,"English,Russian",No,,,101-1000,57500,58700,51200,25,,,,,,
,Cologne,,,,,Full-time employee,,Software Engineer,,14,14,Senior,,C# / .NET,"C# / .NET core,Angular,.NET,SQL,Azure,Kubernetes,Docker",2,"English,German,Russian",Yes,,,11-50,70000,70000,65000,30,,,,,,
,Cologne,,,,,Full-time employee,,Software Engineer,,3,3,Middle,,Python,"SQL,Azure,Other,Java / Scala",2,"English,German",Yes,,,1000+,67000,67000,52000,26,,,,,,
,Cologne,,,,,Full-time employee,,Software Engineer,,9,5,Senior,,C# / .NET,"C / C++,Angular,Javascript / Typescript,NodeJS,.NET,Azure,Kubernetes,Docker",3,"German,English",Yes,,,1000+,68000,68000,68000,30,,,,,,
,Cologne,,,,,Full-time employee,,Software Engineer,,5,1,Middle,,Java,Java / Scala,1,English,No,,,101-1000,80000,90000,,,,,,,,
,Darmstadt,,,,,Full-time employee,,Data Scientist,,10,10,Head,,Python,"R,Azure,AWS,Docker",5,English,Yes,,,1000+,111000,135000,120000,30,,,,,,
,Darmstadt,,,,,Full-time employee,,Tech Lead / Team Lead,,16,3,Lead,,C# / .NET,"C# / .NET core,Javascript / Typescript,Angular,NodeJS,.NET,AWS,Docker",0,English,No,,,1000+,110000,120000,96000,28,,,,,,
,Darmstadt,,,,,Full-time employee,,DevOps,,4,4,Middle,,Python,"Docker,Terraform,Kubernetes,AWS",3,"English,German",Yes,,,51-100,60000,65000,60000,28,,,,,,
,Darmstadt,,,,,Full-time employee,,Data Scientist,,5,2,Middle,,Python,,2,"English,German,Russian",Yes,,,101-1000,67000,70000,,30,,,,,,
,Darmstadt,,,,,Full-time employee,,Data Scientist,,8,8,Senior,,R,"Python,SQL,AWS,Google Cloud,Azure,Docker",0,"English,German",Yes,,,1000+,83200,94500,88000,42,,,,,,
,Darmstadt,,,,,Full-time employee,,DevOps,,3,0,Junior,,Other,"Kubernetes,Docker,Terraform,Azure",0,"Russian,German,English",No,Kubernetes,,1000+,50000,50000,,30,,,,,,
,Dusseldorf,,,,,Full-time employee,,Data Scientist,,3,3,Lead,,Python,Docker,3,"English,German",Yes,,,101-1000,75000,80000,75000,25,,,,,,
,Dusseldorf,,,,,Full-time employee,,Engineering Manager,,22,22,Head,,Java,"Javascript / Typescript,Docker",0,"English,German",No,,,1000+,121000,150000,,30,,,,,,
,Dusseldorf,,,,,Full-time employee,,Other,Data Engineer,14,1,Senior,,Scala,"Python,Java / Scala,AWS",0,"English,Russian",No,,,101-1000,95000,10000,,30,,,,,,
,Dusseldorf,,,,,Full-time employee,,Data Scientist,,7,7,Senior,,Python,"Java / Scala,SQL,Azure",3,English,No,,,1000+,95000,10200,92000,27,,,,,,
,Dusseldorf,,,,,Full-time employee,,Data Scientist,,15,15,Senior,,Python,"Python,SQL,R,AWS",1,"German,English",Yes,,,1000+,70000,70000,,30,,,,,,
,Dusseldorf,,,,,Full-time employee,,Other,Project Manager,1,1,Junior,,Other,,1,"German,English",Yes,,,1000+,52000,52000,,30,,,,,,
,Dusseldorf,,,,,Full-time employee,,Head / Principal / VP,,25,25,Head,,SAP / ABAP,,,"German,English",Yes,,,101-1000,156000,190000,170000,30,,,,,,
,Dusseldorf,,,,,Full-time employee,,Data Scientist,,4,2,Junior,,Python,"R,SQL,AWS",0,"English,Russian",Yes,,,1000+,52500,52500,,27,,,,,,
,Dusseldorf,,,,,Full-time employee,,Product Manager,,10,3,Middle,,C# / .NET,,0,English,No,,,1000+,41500,41500,0,25,,,,,,
,Dusseldorf,,,,,Full-time employee,,Software Engineer,,11,4,Senior,,PHP,,2,English,No,,,101-1000,65000,65000,65000,30,,,,,,
,Dusseldorf,,,,,Full-time employee,,Other,Project Manager,1,1,Junior,,Other,,1,"German,English",Yes,Jira,,1000+,52000,52000,48000,30,,,,,,
,Dusseldorf,,,,,Full-time employee,,QA Engineer,,10,9,Senior,,Other,"Python,Other",2,German,Yes,,,1000+,60000,68000,65000,31,,,,,,
,Dusseldorf,,,,,Full-time employee,,Head / Principal / VP,,15,8,Head,,Other,"Terraform,Docker,Kubernetes,Google Cloud,AWS,Azure,Other,Go",0,English,No,Kubernetes,,51-100,98000,101000,96000,30,,,,,,
,Dusseldorf,,,,,Full-time employee,,Engineering Manager,,12,2,Senior,,Other,,2,German,Yes,,,1000+,72000,72000,60000,36,,,,,,
,Dusseldorf,,,,,Full-time employee,,Product Manager,,5,1,Senior,,SQL,AWS,1,English,No,,,101-1000,66000,0,60000,25,,,,,,
,Dusseldorf,,,,,Full-time employee,,DevOps,,19,5,Lead,,Other,"AWS,Google Cloud,Azure,Kubernetes,Terraform,Docker,Other,SQL",2,"English,German",No,,,1000+,100000,103000,87000,30,,,,,,
,Dusseldorf,,,,,Full-time employee,,Backend Developer,,3,2,Middle,,Python,"SQL,AWS,Docker",2,English,No,,,101-1000,57000,58000,58000,30,,,,,,
,Dusseldorf,,,,,Full-time employee,,Backend Developer,,9,2,Senior,,Java,Go,2,English,Yes,,,101-1000,80000,88000,,,,,,,,
,Dusseldorf,,,,,Full-time employee,,Software Engineer,,15,0,Senior,,PHP,"PHP,Javascript / Typescript,AWS,Google Cloud,Docker,Kubernetes",0,English,No,,,101-1000,80000,80000,,28,,,,,,
,Dusseldorf,,,,,Full-time employee,,Software / Solutions Architect,,17,1,Senior,,JavaScript / Typescript," React,NodeJS",1,English,No,,,51-100,70000,70000,,30,,,,,,
,Dusseldorf,,,,,Full-time employee,,BI Developer / Data Engineer,,6,1,Lead,,Other,"Python,SQL,AWS",0,"German,English",No,Tableau,,1000+,80000,96000,,30,,,,,,
,Frankfurt,,,,,Full-time employee,,Product Manager,,7,4,Senior,,Other,,3,English,Yes,,,1000+,81000,90000,77000,37,,,,,,
,Frankfurt,,,,,Full-time employee,,Network / Security Engineer / System Administrator,,25,1,Lead,,Other,SQL,1,"English,German",No,NA,,101-1000,48000,50000,,30,,,,,,
,Frankfurt,,,,,Full-time employee,,Software Engineer,,25,20,Senior,,Java,"Python,SQL,Docker,Kubernetes,AWS",2,"English,German,Russian",No,,,51-100,110000,160000,160000,30,,,,,,
,Frankfurt,,,,,Full-time employee,,Frontend Developer,,7,6,Lead,,JavaScript / Typescript,"Angular,Javascript / Typescript,Docker",1,"English,German",No,,,11-50,85000,85000,80000,30,,,,,,
,Frankfurt,,,,,Full-time employee,,Network / Security Engineer / System Administrator,,10,2,Middle,,Other,Azure,,"Russian,German",Not relevant to me,,,101-1000,69000,77000,,,,,,,,
,Frankfurt,,,,,Full-time employee,,Software / Solutions Architect,,4,4,Middle,,Python,"SQL,AWS,Docker",0,"English,German,Russian",Yes,,,1000+,87000,125000,120000,28,,,,,,
,Frankfurt,,,,,Full-time employee,,Software / Solutions Architect,,12,12,Senior,,Python,"Python,Java / Scala,SQL,AWS,Google Cloud,Azure",2,"English,German",No,,,1000+,120000,200000,180000,30,,,,,,
,Frankfurt,,,,,Self-employed (freelancer),,Software Engineer,,12,7,Senior,,PHP," React,Kubernetes,Docker,Javascript / Typescript",4,English,No,,,51-100,,,,,80,2300,15,0,,
,Frankfurt,,,,,Full-time employee,,QA Engineer,,11,3,Senior,,Other,,0,"English,Russian",No,,,101-1000,67500,67500,,30,,,,,,
,Frankfurt,,,,,Full-time employee,,Software Engineer,,16,2,Senior,,Kotlin,"SQL,Javascript / Typescript, React,AWS,Docker,Java / Scala,Other",0,English,No,,,11-50,83000,108000,75000,30,,,,,,
,Frankfurt,,,,,Full-time employee,,Data Scientist,,2,2,Middle,,Python,"Python,AWS",1,"English,German",Yes,,,11-50,45000,45000,50000,25,,,,,,
,Frankfurt,,,,,Full-time employee,,Data Scientist,,5,5,Middle,,Python,"Java / Scala,Kotlin,R,SQL,Azure,Kubernetes,Terraform,Docker,Other",2,"English,German",Yes,,,1000+,67600,67600,67600,30,,,,,,
,Frankfurt,,,,,Full-time employee,,Tech Lead / Team Lead,,12,6,Lead,,PHP,"Javascript / Typescript, React,NodeJS,SQL,Kubernetes,Docker,PHP,Other",6,"English,German,Russian",Not relevant to me,,,101-1000,74400,74400,72000,28,,,,,,
,Frankfurt,,,,,Full-time employee,,Software Engineer,,2,2,Middle,,Java,"Javascript / Typescript, React,Docker,SQL",,"English,German",Yes,,,1000+,63000,66000,59000,30,,,,,,
,Frankfurt,,,,,Full-time employee,,Tech Lead / Team Lead,,14,14,Lead,,Other,"SQL,Other",11,German,Yes,Oracle,,101-1000,86000,96000,94000,30,,,,,,
,Frankfurt,,,,,Full-time employee,,Other,Salesforce Consultant ,2,2,Senior,,Other,"SQL,Other",2,"English,German,Russian",Yes,,,1000+,65000,70000,46000,30,,,,,,
,Frankfurt,,,,,Self-employed (freelancer),,Backend Developer,,13,4,Senior,,Java,"Rust,C / C++,Python,Java / Scala",1,"English,German,Russian",No,,,,,,,,90,1300,,0,,
,Frankfurt,,,,,Full-time employee,,Tech Lead / Team Lead,,5,4,Middle,,SAP / ABAP,"Javascript / Typescript,SQL,SAP / ABAP",2,"German,Russian,English",Yes,,,101-1000,70000,75000,70000,30,,,,,,
,Frankfurt,,,,,Full-time employee,,Other,Functional analyst,5,5,Middle,,Other,SQL,3,"German,English",Yes,Cobol,,1000+,74000,6000,73000,30,,,,,,
